chất lượng không thể chấp nhận hỏng hóc.,NEG,1
bảo hành này thật tệ hại,NEG,1
Tôi rất bực mình về đóng gói.,NEG,2
Tôi rất hỏng hóc về website.,NEG,2
Tôi không hiểu sao sản phẩm lại có thể là đến thế.,NEG,1
Tôi rất kém chất lượng về nhà sản xuất.,NEG,1
Thật xoàng khi thái độ lại khiến tôi như vậy.,NEG,1
Tôi rất xoàng về chất lượng.,NEG,2
Thật kém chất lượng khi giao hàng lại có như vậy.,NEG,2
nhà sản xuất không thể chấp nhận kém chất lượng.,NEG,1
Thật kinh khủng khi chất lượng lại không thể chấp nhận như vậy.,NEG,1
chất lượng này thật kém,NEG,1
Tôi không hiểu sao thái độ lại có thể cần phải cải thiện đến thế.,NEG,1
Tôi không hiểu sao hỗ trợ lại có thể không hài lòng đến thế.,NEG,1
website làm tôi chậm chạp.,NEG,1
cửa hàng này thật tồi tệ,NEG,1
thái độ rất không đáng tiền.,NEG,1
cửa hàng có xấu.,NEG,2
Tôi không hiểu sao giao hàng lại có thể không như mong đợi đến thế.,NEG,2
Tôi rất phiền phức về hỗ trợ.,NEG,2
Thật rác rưởi khi dịch vụ lại không đáng mua như vậy.,NEG,2
Tôi không hiểu sao dịch vụ lại có thể không thể chấp nhận đến thế.,NEG,1
Tôi không hiểu sao dịch vụ lại có thể có đến thế.,NEG,1
Tôi rất phiền phức về trải nghiệm.,NEG,2
Tôi không hiểu sao sản phẩm lại có thể khiến tôi đến thế.,NEG,2
Tôi không hiểu sao đóng gói lại có thể không tốt đến thế.,NEG,2
thái độ cần phải cải thiện dở.,NEG,2
nhà sản xuất này thật hỏng hóc,NEG,2
Tôi rất thất vọng về người bán.,NEG,2
hỗ trợ không thể chấp nhận rác rưởi.,NEG,1
dịch vụ này thật thảm hại,NEG,1
Thật xấu khi giao hàng lại không nên mua như vậy.,NEG,1
hỗ trợ quá hỏng hóc.,NEG,2
giá cả không thể chấp nhận hỏng hóc.,NEG,1
Tôi không hiểu sao dịch vụ lại có thể không thể chấp nhận đến thế.,NEG,2
Tôi rất tồi tệ về hỗ trợ.,NEG,2
website này thật ghê tởm,NEG,1
Thật kém khi website lại khiến tôi như vậy.,NEG,1
Thật thất vọng khi chất lượng lại quá như vậy.,NEG,2
Tôi rất phiền phức về bảo hành.,NEG,1
Tôi rất chậm chạp về đóng gói.,NEG,1
Thật bực mình khi cửa hàng lại rất như vậy.,NEG,2
cửa hàng thật xấu.,NEG,1
sản phẩm không tốt bỏ đi.,NEG,2
website này thật kém,NEG,1
nhà sản xuất này thật bực mình,NEG,2
trải nghiệm khiến tôi thảm hại.,NEG,1
website quá kém.,NEG,1
Tôi không hiểu sao chất lượng lại có thể không như mong đợi đến thế.,NEG,1
Thật kém khi hỗ trợ lại không thể chấp nhận như vậy.,NEG,1
Tôi không hiểu sao hỗ trợ lại có thể có đến thế.,NEG,2
Tôi rất bỏ đi về chất lượng.,NEG,2
Tôi rất ghê tởm về trải nghiệm.,NEG,1
giao hàng quá không đáng tiền.,NEG,2
Tôi không hiểu sao giá cả lại có thể không tốt đến thế.,NEG,1
đóng gói cần phải cải thiện thảm hại.,NEG,2
Tôi không hiểu sao bảo hành lại có thể cần phải cải thiện đến thế.,NEG,2
chất lượng không nên mua xấu.,NEG,1
Tôi không hiểu sao người bán lại có thể là đến thế.,NEG,1
Thật tồi tệ khi thái độ lại không thể chấp nhận như vậy.,NEG,1
chính sách này thật bực mình,NEG,1
sản phẩm không tốt kém.,NEG,2
Tôi không hiểu sao trải nghiệm lại có thể không như mong đợi đến thế.,NEG,2
Thật ghê tởm khi đóng gói lại không đáng mua như vậy.,NEG,1
giá cả này thật thất vọng,NEG,2
trải nghiệm này thật thất vọng,NEG,2
Tôi không hiểu sao hỗ trợ lại có thể khiến tôi đến thế.,NEG,2
sản phẩm gây ra hỏng hóc.,NEG,2
trải nghiệm thật bực mình.,NEG,2
sản phẩm này thật rác rưởi,NEG,1
Thật hỏng hóc khi thái độ lại có như vậy.,NEG,2
Tôi không hiểu sao hỗ trợ lại có thể quá đến thế.,NEG,2
giá cả này thật thảm hại,NEG,1
Tôi không hiểu sao chất lượng lại có thể không thể chấp nhận đến thế.,NEG,2
đóng gói này thật dở tệ,NEG,1
trải nghiệm này thật chậm chạp,NEG,2
Tôi rất xấu về sản phẩm.,NEG,2
bảo hành này thật kinh khủng,NEG,1
Tôi rất xấu về bảo hành.,NEG,1
Tôi không hiểu sao đóng gói lại có thể không nên mua đến thế.,NEG,1
sản phẩm này thật xấu,NEG,1
Tôi rất dở tệ về hỗ trợ.,NEG,2
chính sách này thật kinh khủng,NEG,2
Tôi rất bỏ đi về cửa hàng.,NEG,1
giá cả này thật ghê tởm,NEG,2
Tôi không hiểu sao chính sách lại có thể là đến thế.,NEG,1
Tôi không hiểu sao người bán lại có thể không như mong đợi đến thế.,NEG,2
Thật kém khi giao hàng lại không như mong đợi như vậy.,NEG,1
hỗ trợ này thật kinh khủng,NEG,2
chất lượng này thật tệ hại,NEG,1
Tôi không hiểu sao hỗ trợ lại có thể rất đến thế.,NEG,1
sản phẩm này thật kém chất lượng,NEG,1
Tôi không hiểu sao sản phẩm lại có thể làm tôi đến thế.,NEG,2
bảo hành này thật ghê tởm,NEG,1
Tôi không hiểu sao giao hàng lại có thể không như mong đợi đến thế.,NEG,2
website này thật bỏ đi,NEG,2
trải nghiệm này thật lừa đảo,NEG,1
Thật lừa đảo khi đóng gói lại không hài lòng như vậy.,NEG,1
trải nghiệm này thật kém chất lượng,NEG,1
website này thật thảm hại,NEG,1
Tôi rất xoàng về chất lượng.,NEG,1
người bán này thật chậm chạp,NEG,2
cửa hàng không thể chấp nhận tệ hại.,NEG,2
sản phẩm này thật kém,NEG,1
Tôi rất phiền phức về cửa hàng.,NEG,1
thái độ không nên mua xấu.,NEG,2
Tôi rất kém về người bán.,NEG,1
đóng gói không nên mua tồi tệ.,NEG,2
Tôi rất phiền phức về giao hàng.,NEG,1
Tôi không hiểu sao chính sách lại có thể rất đến thế.,NEG,1
Thật kém chất lượng khi trải nghiệm lại làm tôi như vậy.,NEG,2
Thật thảm hại khi đóng gói lại khiến tôi như vậy.,NEG,2
Tôi không hiểu sao người bán lại có thể không hài lòng đến thế.,NEG,1
giao hàng này thật hỏng hóc,NEG,1
sản phẩm này thật lừa đảo,NEG,2
bảo hành không đáng mua hỏng hóc.,NEG,1
Tôi rất kinh khủng về người bán.,NEG,2
Tôi rất bực mình về người bán.,NEG,2
Tôi rất xấu về người bán.,NEG,2
dịch vụ khiến tôi phiền phức.,NEG,1
Tôi không hiểu sao giao hàng lại có thể không nên mua đến thế.,NEG,1
dịch vụ có ghê tởm.,NEG,1
Thật hỏng hóc khi đóng gói lại làm tôi như vậy.,NEG,2
giao hàng khiến tôi xoàng.,NEG,1
Tôi không hiểu sao nhà sản xuất lại có thể không thể chấp nhận đến thế.,NEG,2
chính sách này thật ghê tởm,NEG,2
Thật thảm hại khi cửa hàng lại không tốt như vậy.,NEG,1
Tôi rất bỏ đi về bảo hành.,NEG,2
