content,label,start
Sản phẩm được giao nhanh chóng kỹ lưỡng Cây lau dễ dàng lắp ráp thùng lau nhà chắc chắn và nhẹ đủ phụ kiện,POS,5
Cây lau nhà lỗi ko thể dùng được Lắp vào ko quay dc  Cần đổi hàng,NEG,1
Hàng méo cong vênh chốt xoay gãy mỏng yếu yêu cầu trả hàng,NEG,1
tốt,POS,5
tốt dễ dàng sử dụng,POS,5
sàn phẩm tốt giao hàng nhanh,POS,5
sp khá tốt so với giá,POS,5
Hài lòng giao hàng nhanh,POS,5
Hàng giao đúng hẹn,POS,4
rất tốt,POS,5
Hôm qua mình mua  bình về vợ thấy thích quá Nên đặt thêm cho vợ  bình nữa mà sáng nay đã giao rồi Tiki quá tuyệt vời luôn Gói hàng chắn chắc shipper thân thiện nữa Không có chỗ nào chê luôn  sao cho Tiki nha Nhưng mình hỏi xíu là bình mình nhận thì nó có hơi hở với không kín Không biết có thể khắc phục bằng cách nào không,POS,5
Cũng là shop tick xanh uy tín chứ không phải là nơi bán hàng lẻ nào nhỏ cả nhưng mà thật sự rất thất vọng khi nhận được hàng sản phẩm đóng không kín nước đổ ra không biết làm cách nào khắc phục giá cả cũng không hề rẻ so với mặt bằng chung sản phẩm nhưng nhận lại là sự chăm sóc khách hàng không có tâm trong khi là  shop có uy tín nếu sản phẩm đã không tốt sẵn thì tại sao không thẩm định trước khi bán Thôi coi như là  bài học mong shop sẽ có khắc phục chứ như vầy rất thất vọng về sản phẩm,NEG,1
Tiki giao hàng nhanh và đóng gói cẩn thận Về thương hiệu LocknLock mình đã sử dụng nhiều và thương hiệu khá uy tín về chất lượng và mẫu mã Riêng sản phẩm này thì thiết kế vừa tay và chắc mang phong cách tối giản đẹp và hữu dụng Mọi người luôn ủng hộ sản phẩm của LocknLock nhé ,POS,5
Giao hàng nhanh đóng gói cẩn thận nên không bị móp hộp sản phẩm chính hãng nhìn tổng quan thì ok chỉ có  điểm chưa thích trên sản phẩm là bình thiết kế phần xoay của nắp trong thân bình nên nhìn ko đẹp mắt Giá cả hợp lý nắp ly kín dùng  chạm cũng khá ổn phù hợp đối tượng các bạn làm văn phòng ly giữ lạnh tốt nhưng vẫn bin mồ hôi xung quanh miệng ly,POS,5
Bình xịn  nắp có chốt khóa k sợ đổ nước k bị rỉ nướccó lỗ thông hơi đế su k bị thấm nước giữ nhiệt lạnh chắc tầm  tiếng Vì mình hay uống nước nên bình k đủ nước cho mình uống  nên k biết nó giữ nhiệt đc mấy tiếng mình bỏ nước mát nhưng sau  tiếng vẫn còn mát,POS,5
chọiiii ôibình rất sịn sò luônnắp rất chắccó cả khóa lại sẽ không mở nắp ra đượckhông dễ tràntiki là nhất rồimẫu này mớicả  và  đều chưa bánmình mua  bìnhkèm mã giảm giá chỉ kđặt hàng lúc h kémmà h chiều đã nhận,POS,5
Bình đẹp lắm nha mnchưa dùng nên ko đánh giá đc độ giữ nhiệt nhưng bình cầm rất ổn chắc tay Mình có gói TikiNow nên đặt buổi tối là h sáng hôm sau nhận hàng luôn chưa bao giờ mua hàng online mà trải nghiệm tuyệt vời vậy luôn,POS,5
thực sự thất vọng về kiện hàng này hàng giao tới thì kiện hàng rách nát và có dấu hiệu bị xé ra từ trước vỏ bên trong cũng bị xé rách phần đáy như hình còn về bình thì khi mở khóa nắp ko bật ra dùng tay cố gắng mở cũng ko mở được quá thất vọng hy vọng tiki đổi hàngcập nhật tình hình sau  ngày phải nói là tiki quá uy tín và bộ phận cskh quá tốt ạ Ngay ngày hôm sau khi mình báo hàng lỗi thì tiki đến lấy liền và thực hiện đổi hàng cho mình rất nhanh chỉ trong  ngày mình đã nhận được hàng lúc mình nhận dc là tối khuya chủ nhật tính ra tiki đổi sản phẩm cả trong ngày nghỉ luôn Đúng là khi gặp hàng lỗi thì mới biết bộ phận cskh làm việc nhiệt tình và nhanh chóng như v luôn đó Tin tưởng và sẽ ủng hộ tiki nhiều hơn nữa mua dc giá sale chỉ k thôi Ly giữ nhiệt này thấy ko bị ri nước so với những loại khác cùng hãng nên mua nha mn,POS,5
